Date : 2024-06-13 11:58:56
Directory : e:\spring
Total : 217 files,  19864 codes, 541 comments, 1292 blanks, all 21697 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\test.java                                      | Java               |         33 |          2 |          8 |         43 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\GetIdController.java                      | Java               |         16 |          0 |          5 |         21 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\GetUserInfoController.java                | Java               |         16 |          0 |          5 |         21 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\account\InfoController.java               | Java               |         15 |          0 |          5 |         20 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\account\LoginController.java              | Java               |         18 |          0 |          4 |         22 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\account\RegisterController.java           | Java               |         19 |          0 |          5 |         24 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\bot\AddController.java                    | Java               |         16 |          0 |          5 |         21 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\bot\GetListController.java                | Java               |         17 |          0 |          5 |         22 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\bot\RemoveController.java                 | Java               |         16 |          0 |          5 |         21 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\user\bot\UpdateController.java                 | Java               |         16 |          0 |          5 |         21 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\mapper\BotMapper.java                                     | Java               |          7 |          0 |          3 |         10 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\mapper\FollowsMapper.java                                 | Java               |          7 |          0 |          3 |         10 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\mapper\RecordMapper.java                                  | Java               |          7 |          0 |          3 |         10 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\mapper\UserMapper.java                                    | Java               |          7 |          0 |          3 |         10 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\pojo\Bot.java                                             | Java               |         23 |          0 |          4 |         27 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\pojo\Follows.java                                         | Java               |         22 |          0 |          4 |         26 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\pojo\Record.java                                          | Java               |         27 |          0 |          3 |         30 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\pojo\User.java                                            | Java               |         19 |          0 |          3 |         22 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\follows\AddFollowsCountService.java               | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\follows\ChangeFollowsService.java                 | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\follows\GetFollowsService.java                    | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\UserDetailsServiceImpl.java                  | Java               |         25 |          0 |          4 |         29 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\follows\AddFollowsCountServiceImpl.java      | Java               |         24 |          0 |          8 |         32 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\follows\ChangeFollowsServiceImpl.java        | Java               |         57 |          2 |         10 |         69 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\follows\GetFollowsServiceImpl.java           | Java               |         51 |          5 |         11 |         67 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\pk\ReceiveBotMoveServiceImpl.java            | Java               |         23 |          0 |          3 |         26 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\pk\StartGameServiceImpl.java                 | Java               |         13 |          0 |          3 |         16 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\post\AddPostServiceImpl.java                 | Java               |         30 |          0 |          5 |         35 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\ranklist\AddRankListServiceImpl.java         | Java               |         30 |          0 |          7 |         37 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\record\GetRecordListServiceImpl.java         | Java               |         48 |          0 |          8 |         56 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\GetIdServiceImpl.java                   | Java               |         29 |          0 |          6 |         35 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\GetUserInfoServiceImpl.java             | Java               |         28 |          0 |          8 |         36 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\account\InfoServiceImpl.java            | Java               |         25 |          2 |          7 |         34 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\account\LoginServiceImpl.java           | Java               |         30 |          0 |         10 |         40 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\account\RegisterServiceImpl.java        | Java               |         64 |          0 |         14 |         78 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\bot\AddServoceImpl.java                 | Java               |         64 |          2 |         18 |         84 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\bot\GetLisServiceImpl.java              | Java               |         29 |          2 |          8 |         39 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\bot\RemoveServiceImpl.java              | Java               |         38 |          2 |         10 |         50 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\user\bot\UpdateServiceImpl.java              | Java               |         74 |          2 |         17 |         93 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\impl\utils\UserDetailsImpl.java                   | Java               |         42 |          0 |         11 |         53 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\pk\ReceiveBotMoveService.java                     | Java               |          4 |          0 |          2 |          6 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\pk\StartGameService.java                          | Java               |          4 |          0 |          2 |          6 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\post\AddPostService.java                          | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\ranklist\GetRankListService.java                  | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\record\GetRecordListService.java                  | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\GetIdService.java                            | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\GetUserInfoService.java                      | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\account\InfoService.java                     | Java               |          5 |          0 |          4 |          9 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\account\LoginService.java                    | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\account\RegisterService.java                 | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\bot\AddService.java                          | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\bot\GetListService.java                      | Java               |          7 |          0 |          4 |         11 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\bot\RemoveService.java                       | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\service\user\bot\UpdateService.java                       | Java               |          5 |          0 |          3 |          8 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\utils\JwtUtil.java                                        | Java               |         53 |          0 |          9 |         62 |
| e:\spring\backencloud\backend\src\main\resources\application.properties                                               | Java Properties    |          5 |          0 |          0 |          5 |
| e:\spring\backencloud\backend\src\main\resources\static\index.html                                                    | HTML               |          6 |          0 |          0 |          6 |
| e:\spring\backencloud\backend\src\main\resources\templates\pk\index.html                                              | HTML               |         10 |          0 |          0 |         10 |
| e:\spring\backencloud\botrunningsystem\pom.xml                                                                        | XML                |         64 |          3 |          9 |         76 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\BotRunningSystemApplication.java        | Java               |         11 |          0 |          2 |         13 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\config\RestTemplateConfig.java          | Java               |         11 |          0 |          3 |         14 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\config\SecurityConfig.java              | Java               |         21 |          0 |          3 |         24 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\controller\BotRunningController.java    | Java               |         21 |          0 |          5 |         26 |
| e:\spring\backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service\BotRunningService.java          | Java               |          4 |          0 |          2 |          6 |
